,dataset,kernel,layers,latent_dim,lr,batch_size,n_inducing,n_epochs,auc_roc,auc_pr
81,18_Ionosphere,rbf,"5,5",2,0.01,128,50,1000,0.9893301435406691,0.98587770679575
82,18_Ionosphere,rbf,"5,5",5,0.01,128,50,1000,0.9838755980861241,0.9820738664760971
83,18_Ionosphere,rbf,"5,5",10,0.01,128,50,1000,0.9861244019138751,0.982693480229298
84,18_Ionosphere,rbf,"5,5",15,0.01,128,10,1000,0.9849282296650711,0.9785848205407991
85,18_Ionosphere,rbf,"5,5",15,0.01,128,25,1000,0.9872248803827751,0.9821140998281911
86,18_Ionosphere,rbf,"5,5",15,0.01,128,100,1000,0.9829186602870811,0.9800359233076821
87,19_landsat,rbf,"5,5",2,0.01,128,50,1000,0.724998367080339,0.40742146140023805
88,19_landsat,rbf,"5,5",5,0.01,128,50,1000,0.628352384062704,0.293373328500846
89,19_landsat,rbf,"5,5",10,0.01,128,50,1000,0.541423905943827,0.214962882271849
90,19_landsat,rbf,"5,5",15,0.01,128,10,1000,0.379299477465708,0.16658914329211502
91,19_landsat,rbf,"5,5",15,0.01,128,25,1000,0.38046701502286,0.166892902956323
92,19_landsat,rbf,"5,5",15,0.01,128,100,1000,0.5624983670803391,0.23849722768681003
93,20_letter,rbf,"15,15",2,0.01,128,50,1000,0.8814814814814811,0.337028867238499
94,20_letter,rbf,"15,15",5,0.01,128,50,1000,0.8820740740740741,0.316867121123452
95,20_letter,rbf,"15,15",10,0.01,128,50,1000,0.797481481481481,0.22759519364795802
96,20_letter,rbf,"15,15",15,0.01,128,10,1000,0.529333333333333,0.090302289628473
97,20_letter,rbf,"15,15",15,0.01,128,25,1000,0.7588888888888891,0.18977041382445
98,20_letter,rbf,"15,15",15,0.01,128,100,1000,0.0,0.0
99,21_Lymphography,rbf,"10,10,10",9,0.01,128,10,1000,0.9992507492507491,0.9846415489272631
100,21_Lymphography,rbf,"10,10,10",9,0.01,128,25,1000,1.0,0.9999999999999991
101,21_Lymphography,rbf,"10,10,10",9,0.01,128,100,1000,1.0,0.9999999999999991
102,22_magic.gamma,rbf,"10,10",5,0.01,128,10,1000,0.7656095068745551,0.7054628867146641
103,22_magic.gamma,rbf,"10,10",5,0.01,128,25,1000,0.778853323287607,0.721531362240677
104,22_magic.gamma,rbf,"10,10",5,0.01,128,100,1000,0.795868434818591,0.741298482056676
105,23_mammography,rbf,"15,15",3,0.01,128,10,1000,0.865620736698499,0.276730013942382
106,23_mammography,rbf,"15,15",3,0.01,128,25,1000,0.853528007383035,0.27247934538178203
107,23_mammography,rbf,"15,15",3,0.01,128,100,1000,0.8636044458711181,0.28056950971217803
108,24_mnist,rbf,"5,5",2,0.01,128,50,1000,0.9056701386493751,0.537953202528007
109,24_mnist,rbf,"5,5",5,0.01,128,50,1000,0.9207928077073411,0.5724623936373651
110,24_mnist,rbf,"5,5",10,0.01,128,50,1000,0.905532179071532,0.5370290362970861
111,24_mnist,rbf,"5,5",15,0.01,128,10,1000,0.8589570255915011,0.441991184891013
112,24_mnist,rbf,"5,5",15,0.01,128,25,1000,0.8938584994596581,0.506277956471186
113,24_mnist,rbf,"5,5",15,0.01,128,100,1000,0.7900715090478491,0.353844218140665
114,25_musk,rbf,"10,10",2,0.01,128,50,1000,1.0,0.9999999999999991
115,25_musk,rbf,"10,10",5,0.01,128,50,1000,1.0,0.9999999999999991
